,IFRS(연결),Annual,Annual.1,Annual.2,Annual.3,Annual.4,Annual.5,Annual.6,Annual.7
0,IFRS(연결),2017/12,2018/12,2019/12,2020/12,2021/12,2022/12(E),2023/12(E),2024/12(E)
1,매출액,301094,404451,269907,319004,429978,456434,342643,436934
2,영업이익,137213,208438,27192,50126,124103,79844,-24307,62815
3,영업이익(발표기준),137213,208438,27192,50126,124103,,,
4,당기순이익,106422,155400,20091,47589,96162,54664,-20751,45556
5,지배주주순이익,106415,155401,20060,47551,96023,54586,-20754,45507
6,비지배주주순이익,7,-1,31,38,139,,,
7,자산총계,454185,636583,652484,711739,963865,1034122,1007096,1072010
8,부채총계,115975,168060,173125,192648,341954,366600,367370,391188
9,자본총계,338209,468523,479359,519091,621911,666515,638746,674390
10,지배주주지분,338153,468457,479211,518885,621571,667670,641127,677414
11,비지배주주지분,56,66,148,206,340,-1155,-2381,-3023
12,자본금,36577,36577,36577,36577,36577,36579,36579,36579
13,부채비율,34.29,35.87,36.12,37.11,54.98,55.00,57.51,58.01
14,유보율,845.61,1249.34,1278.74,1387.21,1662.31,,,
15,영업이익률,45.57,51.54,10.07,15.71,28.86,17.49,-7.09,14.38
16,지배주주순이익률,35.34,38.42,7.43,14.91,22.33,11.96,-6.06,10.42
17,ROA,27.42,28.49,3.12,6.98,11.48,5.47,-2.03,4.38
18,ROE,36.80,38.53,4.23,9.53,16.84,8.47,-3.17,6.90
19,EPS(원),14617,21346,2755,6532,13190,7498,-2851,6251
20,BPS(원),47510,67794,69271,74721,88543,94875,91229,96213
21,DPS(원),1000,1500,1000,1170,1540,1467,1583,1771
22,PER,5.23,2.83,34.15,18.14,9.93,10.10,,12.11
23,PBR,1.61,0.89,1.36,1.59,1.48,0.80,0.83,0.79
24,발행주식수,728002,728002,728002,728002,728002,,,
25,배당수익률,1.31,2.48,1.06,0.99,1.18,,,
