,IFRS(연결),Annual,Annual.1,Annual.2,Annual.3,Annual.4,Annual.5,Annual.6,Annual.7
0,IFRS(연결),2017/12,2018/12,2019/12,2020/12,2021/12,2022/12(E),2023/12(E),2024/12(E)
1,매출액,2395754,2437714,2304009,2368070,2796048,3054876,2942704,3166190
2,영업이익,536450,588867,277685,359939,516339,463279,291990,449735
3,영업이익(발표기준),536450,588867,277685,359939,516339,,,
4,당기순이익,421867,443449,217389,264078,399075,371012,239236,358705
5,지배주주순이익,413446,438909,215051,260908,392438,365053,235244,352973
6,비지배주주순이익,8422,4540,2338,3170,6637,,,
7,자산총계,3017521,3393572,3525645,3782357,4266212,4618388,4792837,5160428
8,부채총계,872607,916041,896841,1022877,1217212,1234950,1262753,1363721
9,자본총계,2144914,2477532,2628804,2759480,3048999,3383438,3530084,3796707
10,지배주주지분,2072134,2400690,2549155,2676703,2962377,3291855,3436930,3698947
11,비지배주주지분,72780,76842,79649,82777,86622,91584,93155,97760
12,자본금,8975,8975,8975,8975,8975,8979,8979,8979
13,부채비율,40.68,36.97,34.12,37.07,39.92,36.50,35.77,35.92
14,유보율,23681.42,26648.22,28302.40,29723.53,32906.47,,,
15,영업이익률,22.39,24.16,12.05,15.20,18.47,15.17,9.92,14.20
16,지배주주순이익률,17.26,18.00,9.33,11.02,14.04,11.95,7.99,11.15
17,ROA,14.96,13.83,6.28,7.23,9.92,8.35,5.08,7.21
18,ROE,21.01,19.63,8.69,9.99,13.92,11.67,6.99,9.89
19,EPS(원),5421,6024,3166,3841,5777,5374,3463,5196
20,BPS(원),28971,35342,37528,39406,43611,48462,50598,54455
21,DPS(원),850,1416,1416,2994,1444,1521,1538,1528
22,PER,9.40,6.42,17.63,21.09,13.55,10.33,16.03,10.68
23,PBR,1.76,1.10,1.49,2.06,1.80,1.15,1.10,1.02
24,발행주식수,6454925,5969783,5969783,5969783,5969783,,,
25,배당수익률,1.67,3.66,2.54,3.70,1.84,,,
