,IFRS(연결),Annual,Annual.1,Annual.2,Annual.3,Annual.4,Annual.5,Annual.6,Annual.7
0,IFRS(연결),2017/12,2018/12,2019/12,2020/12,2021/12,2022/12(E),2023/12(E),2024/12(E)
1,매출액,19204,15601,15777,15512,15649,17178,19912,22165
2,영업이익,2361,2344,2142,1673,1889,1978,2368,2679
3,영업이익(발표기준),2361,2344,2142,1673,1889,,,
4,당기순이익,2033,1697,1470,1186,1483,1315,1861,2143
5,지배주주순이익,1969,1579,1320,1083,1169,1067,1507,1729
6,비지배주주순이익,64,117,150,104,315,,,
7,자산총계,18108,16605,18059,17994,19044,20059,21989,24255
8,부채총계,8260,6575,6938,5199,5041,5253,5644,6123
9,자본총계,9849,10030,11121,12795,14004,14805,16345,18132
10,지배주주지분,7773,7849,8754,10355,11161,11654,12854,14252
11,비지배주주지분,2076,2181,2366,2440,2843,3151,3490,3881
12,자본금,180,180,180,180,180,180,180,180
13,부채비율,83.87,65.56,62.39,40.63,36.00,35.48,34.53,33.77
14,유보율,4229.26,4755.94,5254.16,5667.52,6174.40,,,
15,영업이익률,12.29,15.02,13.58,10.79,12.07,11.51,11.89,12.09
16,지배주주순이익률,10.25,10.12,8.37,6.98,7.47,6.21,7.57,7.80
17,ROA,12.26,9.78,8.48,6.58,8.01,6.73,8.85,9.27
18,ROE,29.26,20.22,15.90,11.33,10.86,9.35,12.30,12.76
19,EPS(원),5484,4399,3676,3015,3254,2971,4197,4815
20,BPS(원),21646,24280,26771,28838,31372,32745,36088,39980
21,DPS(원),1245,1278,1056,950,1170,1179,1250,1276
22,PER,7.07,7.87,12.58,12.80,11.08,11.88,8.41,7.33
23,PBR,1.79,1.43,1.73,1.34,1.15,1.08,0.98,0.88
24,발행주식수,35909,35909,35909,35909,35909,,,
25,배당수익률,3.21,3.69,2.28,2.46,3.25,,,
