,IFRS(연결),Annual,Annual.1,Annual.2,Annual.3,Annual.4,Annual.5,Annual.6,Annual.7
0,IFRS(연결),2017/12,2018/12,2019/12,2020/12,2021/12,2022/12(E),2023/12(E),2024/12(E)
1,매출액,1804,2054,1727,1762,2177,,,
2,영업이익,131,135,92,60,121,,,
3,영업이익(발표기준),131,135,92,60,121,,,
4,당기순이익,186,203,-109,-40,133,,,
5,지배주주순이익,187,202,-109,-39,133,,,
6,비지배주주순이익,-0,0,-0,-0,,,,
7,자산총계,1961,2048,2242,2199,3148,,,
8,부채총계,1385,1253,1559,1401,1974,,,
9,자본총계,576,795,683,798,1174,,,
10,지배주주지분,569,788,676,792,1174,,,
11,비지배주주지분,7,7,7,6,0,,,
12,자본금,214,216,220,220,244,,,
13,부채비율,240.45,157.72,228.35,175.52,168.15,,,
14,유보율,183.00,278.68,220.56,266.10,387.15,,,
15,영업이익률,7.29,6.58,5.33,3.41,5.57,,,
16,지배주주순이익률,10.35,9.86,-6.29,-2.23,6.12,,,
17,ROA,9.94,10.10,-5.08,-1.78,4.99,,,
18,ROE,41.19,29.84,-14.85,-5.36,13.57,,,
19,EPS(원),437,468,-247,-89,273,,,
20,BPS(원),1415,1893,1603,1831,2436,,,
21,DPS(원),,80,,,,,,
22,PER,5.67,4.99,,,17.96,,,
23,PBR,1.75,1.23,1.50,3.62,2.01,,,
24,발행주식수,42710,43227,44048,44048,48806,,,
25,배당수익률,,3.43,,,,,,
