,날짜,종가,전일비,시가,고가,저가,거래량
1,2023.01.03,156000.0,0.0,158000.0,158000.0,150500.0,2695.0
2,2023.01.02,156000.0,1000.0,158000.0,158000.0,152500.0,4143.0
3,2022.12.29,157000.0,3000.0,160000.0,160000.0,155000.0,2003.0
4,2022.12.28,160000.0,500.0,159000.0,160500.0,158500.0,939.0
5,2022.12.27,160500.0,500.0,162000.0,162000.0,158500.0,3300.0
9,2022.12.26,161000.0,0.0,158000.0,162000.0,157500.0,2696.0
10,2022.12.23,161000.0,500.0,160000.0,161500.0,158000.0,2441.0
11,2022.12.22,161500.0,5000.0,156500.0,162000.0,155000.0,12642.0
12,2022.12.21,156500.0,10000.0,145000.0,160000.0,145000.0,11602.0
13,2022.12.20,146500.0,1000.0,147500.0,147500.0,144500.0,2503.0
1,2022.12.19,147500.0,0.0,147000.0,148500.0,145000.0,1950.0
2,2022.12.16,147500.0,500.0,144000.0,147500.0,143500.0,3304.0
3,2022.12.15,147000.0,500.0,146500.0,147500.0,145000.0,984.0
4,2022.12.14,146500.0,1000.0,146000.0,147000.0,145500.0,607.0
5,2022.12.13,145500.0,1500.0,148000.0,148000.0,145000.0,1622.0
9,2022.12.12,147000.0,3000.0,144000.0,147000.0,143500.0,2689.0
10,2022.12.09,144000.0,1500.0,143000.0,144000.0,141500.0,1718.0
11,2022.12.08,142500.0,1000.0,142000.0,143000.0,141000.0,2326.0
12,2022.12.07,141500.0,500.0,139000.0,142500.0,139000.0,2181.0
13,2022.12.06,142000.0,0.0,140500.0,142500.0,140000.0,2201.0
1,2022.12.05,142000.0,500.0,143000.0,143000.0,141000.0,1553.0
2,2022.12.02,142500.0,2000.0,141000.0,142500.0,140500.0,1960.0
3,2022.12.01,140500.0,2000.0,140000.0,142000.0,139500.0,3624.0
4,2022.11.30,138500.0,1500.0,137000.0,140000.0,137000.0,2950.0
5,2022.11.29,137000.0,1000.0,135500.0,139000.0,135500.0,1722.0
9,2022.11.28,136000.0,4500.0,140500.0,140500.0,135500.0,5826.0
10,2022.11.25,140500.0,500.0,139000.0,140500.0,138000.0,4321.0
11,2022.11.24,140000.0,500.0,141000.0,141000.0,139000.0,2962.0
12,2022.11.23,140500.0,1000.0,141000.0,141500.0,137500.0,4831.0
13,2022.11.22,139500.0,1000.0,138500.0,140500.0,136500.0,2825.0
1,2022.11.21,138500.0,500.0,139000.0,141000.0,137500.0,2423.0
2,2022.11.18,139000.0,2500.0,140000.0,141000.0,138000.0,2984.0
3,2022.11.17,141500.0,500.0,141000.0,142000.0,139000.0,1182.0
4,2022.11.16,141000.0,2000.0,141000.0,142500.0,139000.0,4102.0
5,2022.11.15,139000.0,2000.0,137000.0,140500.0,134500.0,5443.0
9,2022.11.14,137000.0,1500.0,137000.0,139500.0,137000.0,5400.0
10,2022.11.11,135500.0,1500.0,138500.0,138500.0,135000.0,5605.0
11,2022.11.10,134000.0,1000.0,134500.0,135000.0,133000.0,2522.0
12,2022.11.09,135000.0,0.0,135000.0,136000.0,134000.0,6013.0
13,2022.11.08,135000.0,500.0,136500.0,137000.0,133500.0,3220.0
1,2022.11.07,135500.0,2500.0,134500.0,136000.0,133000.0,4826.0
2,2022.11.04,133000.0,2000.0,131000.0,133000.0,129500.0,3790.0
3,2022.11.03,131000.0,0.0,130000.0,131500.0,128500.0,4587.0
4,2022.11.02,131000.0,1500.0,130000.0,131000.0,129000.0,3185.0
5,2022.11.01,129500.0,500.0,129500.0,130500.0,128000.0,3303.0
9,2022.10.31,129000.0,500.0,130000.0,131500.0,129000.0,2317.0
10,2022.10.28,129500.0,1000.0,130500.0,131500.0,128500.0,3291.0
11,2022.10.27,130500.0,2000.0,127500.0,131000.0,127500.0,6206.0
12,2022.10.26,128500.0,1000.0,126500.0,129000.0,126500.0,5204.0
13,2022.10.25,127500.0,0.0,128000.0,128500.0,125500.0,4337.0
1,2022.10.24,127500.0,3500.0,132000.0,132500.0,127000.0,7487.0
2,2022.10.21,131000.0,3500.0,134000.0,134000.0,129500.0,5377.0
3,2022.10.20,134500.0,1500.0,136000.0,136000.0,131500.0,4016.0
4,2022.10.19,136000.0,2000.0,138000.0,139000.0,134500.0,3921.0
5,2022.10.18,138000.0,500.0,138500.0,139500.0,135500.0,2990.0
9,2022.10.17,138500.0,2500.0,136000.0,138500.0,134000.0,1256.0
10,2022.10.14,136000.0,1000.0,137000.0,138500.0,136000.0,2206.0
11,2022.10.13,137000.0,2000.0,137500.0,139000.0,135000.0,1771.0
12,2022.10.12,139000.0,2000.0,141000.0,141000.0,137000.0,2122.0
13,2022.10.11,141000.0,5000.0,144500.0,144500.0,139000.0,1976.0
1,2022.10.07,146000.0,0.0,146000.0,146000.0,142000.0,1782.0
2,2022.10.06,146000.0,2000.0,144000.0,146000.0,142500.0,1037.0
3,2022.10.05,144000.0,500.0,144500.0,146000.0,142500.0,1809.0
4,2022.10.04,144500.0,500.0,144000.0,146000.0,141000.0,2554.0
5,2022.09.30,144000.0,3500.0,146500.0,151000.0,142500.0,3282.0
9,2022.09.29,147500.0,2000.0,145500.0,150000.0,143000.0,2384.0
10,2022.09.28,145500.0,4000.0,150000.0,150500.0,141000.0,3702.0
11,2022.09.27,149500.0,1500.0,148000.0,150500.0,145500.0,2702.0
12,2022.09.26,148000.0,6500.0,154000.0,154000.0,148000.0,1616.0
13,2022.09.23,154500.0,500.0,155000.0,156000.0,153000.0,1682.0
1,2022.09.22,155000.0,1000.0,154000.0,156000.0,151000.0,2130.0
2,2022.09.21,154000.0,500.0,153500.0,156000.0,153000.0,1944.0
3,2022.09.20,153500.0,2000.0,151000.0,154000.0,151000.0,1528.0
4,2022.09.19,151500.0,2000.0,149500.0,152500.0,149500.0,2416.0
5,2022.09.16,149500.0,3500.0,146000.0,149500.0,145500.0,2756.0
9,2022.09.15,146000.0,1000.0,147000.0,148000.0,146000.0,1303.0
10,2022.09.14,147000.0,3000.0,149000.0,149000.0,146500.0,3342.0
11,2022.09.13,150000.0,500.0,153500.0,153500.0,149000.0,4297.0
12,2022.09.08,150500.0,500.0,152000.0,153500.0,150500.0,1950.0
13,2022.09.07,150000.0,1500.0,154500.0,154500.0,149500.0,681.0
1,2022.09.06,151500.0,500.0,152000.0,154500.0,151500.0,1040.0
2,2022.09.05,151000.0,2000.0,154500.0,154500.0,150500.0,733.0
3,2022.09.02,153000.0,2000.0,153500.0,154000.0,150500.0,1143.0
4,2022.09.01,151000.0,4000.0,155500.0,155500.0,151000.0,1101.0
5,2022.08.31,155000.0,500.0,156500.0,157500.0,154500.0,1622.0
9,2022.08.30,155500.0,1500.0,154500.0,157000.0,154500.0,1771.0
10,2022.08.29,154000.0,5000.0,155000.0,156000.0,153500.0,3609.0
11,2022.08.26,159000.0,0.0,162000.0,162000.0,157000.0,1913.0
12,2022.08.25,159000.0,1000.0,164000.0,164000.0,159000.0,1178.0
13,2022.08.24,160000.0,1000.0,161000.0,163500.0,159000.0,902.0
1,2022.08.23,161000.0,1000.0,162000.0,163500.0,158000.0,2062.0
2,2022.08.22,162000.0,4000.0,165500.0,165500.0,161500.0,1011.0
3,2022.08.19,166000.0,0.0,165000.0,166500.0,163000.0,1205.0
4,2022.08.18,166000.0,2000.0,164000.0,166000.0,161000.0,2880.0
5,2022.08.17,164000.0,1000.0,163000.0,164000.0,163000.0,1893.0
9,2022.08.16,163000.0,0.0,163000.0,163500.0,162000.0,3640.0
10,2022.08.12,163000.0,1500.0,165000.0,166500.0,161500.0,2176.0
11,2022.08.11,164500.0,1500.0,167000.0,167000.0,163500.0,1966.0
12,2022.08.10,166000.0,0.0,166000.0,166500.0,164000.0,5392.0
13,2022.08.09,166000.0,2500.0,164000.0,166500.0,160500.0,3719.0
1,2022.08.08,163500.0,1500.0,165000.0,166500.0,160500.0,5724.0
2,2022.08.05,162000.0,9000.0,153000.0,164000.0,153000.0,10008.0
3,2022.08.04,153000.0,1500.0,154500.0,155500.0,153000.0,1929.0
4,2022.08.03,154500.0,1500.0,156000.0,158000.0,153000.0,3979.0
5,2022.08.02,156000.0,1500.0,157500.0,157500.0,154000.0,2548.0
9,2022.08.01,154500.0,2500.0,152000.0,155500.0,152000.0,1815.0
10,2022.07.29,152000.0,500.0,151500.0,153000.0,151500.0,1469.0
11,2022.07.28,151500.0,2000.0,154000.0,154000.0,151000.0,1584.0
12,2022.07.27,153500.0,1500.0,155000.0,155000.0,152500.0,903.0
13,2022.07.26,155000.0,1500.0,154500.0,156000.0,152500.0,919.0
1,2022.07.25,153500.0,1500.0,152500.0,155000.0,152000.0,1274.0
2,2022.07.22,152000.0,1000.0,153000.0,155000.0,150500.0,2656.0
3,2022.07.21,153000.0,1000.0,154000.0,156000.0,151500.0,2947.0
4,2022.07.20,154000.0,4000.0,158500.0,159500.0,153500.0,2085.0
5,2022.07.19,158000.0,500.0,158000.0,158500.0,155500.0,1516.0
9,2022.07.18,157500.0,2000.0,155500.0,158500.0,155000.0,1113.0
10,2022.07.15,155500.0,0.0,156000.0,158500.0,151500.0,2432.0
11,2022.07.14,155500.0,3000.0,152500.0,156000.0,150500.0,2024.0
12,2022.07.13,152500.0,2000.0,150000.0,155000.0,150000.0,1607.0
13,2022.07.12,150500.0,500.0,150500.0,152000.0,148000.0,2775.0
1,2022.07.11,151000.0,2500.0,153500.0,153500.0,149500.0,1898.0
2,2022.07.08,153500.0,1000.0,153500.0,153500.0,150500.0,2675.0
3,2022.07.07,152500.0,4500.0,157000.0,157500.0,151000.0,2564.0
4,2022.07.06,157000.0,2500.0,159500.0,159500.0,156000.0,4242.0
5,2022.07.05,159500.0,2000.0,158500.0,159500.0,155000.0,2292.0
9,2022.07.04,157500.0,1500.0,156000.0,158500.0,154500.0,6023.0
10,2022.07.01,156000.0,7500.0,147000.0,157500.0,147000.0,8313.0
11,2022.06.30,148500.0,2500.0,149500.0,151000.0,147000.0,2059.0
12,2022.06.29,151000.0,1500.0,149500.0,153500.0,145000.0,4364.0
13,2022.06.28,149500.0,500.0,148500.0,151500.0,148000.0,1217.0
1,2022.06.27,150000.0,2000.0,149000.0,153500.0,147500.0,4531.0
2,2022.06.24,148000.0,2500.0,141000.0,150000.0,141000.0,5491.0
3,2022.06.23,145500.0,5000.0,140500.0,147000.0,138000.0,4911.0
4,2022.06.22,140500.0,4000.0,144500.0,145500.0,138000.0,4790.0
5,2022.06.21,144500.0,4000.0,140500.0,144500.0,139000.0,2912.0
9,2022.06.20,140500.0,3500.0,144500.0,145000.0,137500.0,5962.0
10,2022.06.17,144000.0,5000.0,146000.0,146500.0,142500.0,5640.0
11,2022.06.16,149000.0,2500.0,146500.0,150000.0,146500.0,1723.0
12,2022.06.15,146500.0,2500.0,148000.0,150000.0,143000.0,5602.0
13,2022.06.14,149000.0,3500.0,152500.0,152500.0,147000.0,7663.0
1,2022.06.13,152500.0,5500.0,157000.0,157000.0,152000.0,6228.0
2,2022.06.10,158000.0,1000.0,159000.0,159000.0,156500.0,3485.0
3,2022.06.09,159000.0,2500.0,161500.0,162500.0,157500.0,8212.0
4,2022.06.08,161500.0,1500.0,164000.0,164000.0,161500.0,1859.0
5,2022.06.07,163000.0,1500.0,165500.0,165500.0,162000.0,1625.0
9,2022.06.03,164500.0,500.0,164500.0,166000.0,163500.0,2600.0
10,2022.06.02,164000.0,500.0,164500.0,165000.0,162500.0,1881.0
11,2022.05.31,164500.0,1000.0,165500.0,166500.0,163500.0,2829.0
12,2022.05.30,165500.0,1000.0,166000.0,166500.0,165000.0,1368.0
13,2022.05.27,164500.0,2000.0,163000.0,166000.0,162500.0,2908.0
1,2022.05.26,162500.0,500.0,161500.0,163000.0,161500.0,1187.0
2,2022.05.25,162000.0,0.0,162000.0,163000.0,161500.0,1538.0
3,2022.05.24,162000.0,1500.0,163500.0,163500.0,161500.0,2433.0
4,2022.05.23,163500.0,2000.0,165500.0,166500.0,162000.0,4698.0
5,2022.05.20,165500.0,2000.0,164500.0,166000.0,164000.0,2200.0
9,2022.05.19,163500.0,500.0,164000.0,166500.0,162500.0,2006.0
10,2022.05.18,164000.0,1000.0,166000.0,167000.0,164000.0,1778.0
11,2022.05.17,165000.0,0.0,165000.0,165500.0,163500.0,1407.0
12,2022.05.16,165000.0,1000.0,166000.0,167000.0,163500.0,2201.0
13,2022.05.13,166000.0,2500.0,163500.0,166500.0,163000.0,1851.0
1,2022.05.12,163500.0,3000.0,167500.0,167500.0,163500.0,1648.0
2,2022.05.11,166500.0,500.0,166500.0,169000.0,165000.0,2623.0
3,2022.05.10,166000.0,500.0,165000.0,166000.0,162500.0,3980.0
4,2022.05.09,166500.0,3000.0,168500.0,169000.0,165500.0,4259.0
5,2022.05.06,169500.0,1000.0,170500.0,170500.0,167500.0,2807.0
9,2022.05.04,170500.0,2500.0,172000.0,173000.0,170000.0,6877.0
10,2022.05.03,173000.0,0.0,173500.0,175500.0,172500.0,4336.0
11,2022.05.02,173000.0,5000.0,176500.0,176500.0,173000.0,7824.0
12,2022.04.29,178000.0,1500.0,179500.0,180500.0,176500.0,3763.0
13,2022.04.28,179500.0,500.0,179000.0,179500.0,177000.0,2378.0
1,2022.04.27,180000.0,4000.0,181500.0,181500.0,175500.0,6644.0
2,2022.04.26,184000.0,1000.0,182500.0,184500.0,179500.0,3967.0
3,2022.04.25,183000.0,0.0,186500.0,190500.0,182500.0,10958.0
4,2022.04.22,183000.0,2000.0,186500.0,187500.0,183000.0,3756.0
5,2022.04.21,185000.0,3000.0,189500.0,189500.0,185000.0,2707.0
9,2022.04.20,188000.0,7000.0,183500.0,189000.0,181000.0,7247.0
10,2022.04.19,181000.0,500.0,181000.0,184000.0,181000.0,2697.0
11,2022.04.18,180500.0,1000.0,180000.0,181000.0,179000.0,2054.0
12,2022.04.15,179500.0,0.0,178000.0,180000.0,177500.0,1355.0
13,2022.04.14,179500.0,2000.0,176000.0,181000.0,176000.0,3126.0
1,2022.04.13,177500.0,2500.0,177500.0,177500.0,175000.0,1389.0
2,2022.04.12,175000.0,2500.0,179000.0,179000.0,175000.0,1286.0
3,2022.04.11,177500.0,3000.0,181000.0,181500.0,177000.0,2891.0
4,2022.04.08,180500.0,500.0,181500.0,183000.0,178500.0,2061.0
5,2022.04.07,181000.0,1000.0,180000.0,181500.0,178000.0,2825.0
9,2022.04.06,180000.0,3000.0,177500.0,180000.0,177000.0,2615.0
10,2022.04.05,177000.0,500.0,177500.0,179500.0,176500.0,2699.0
11,2022.04.04,177500.0,1500.0,178000.0,178500.0,175500.0,2714.0
12,2022.04.01,176000.0,4000.0,180000.0,180000.0,176000.0,4113.0
13,2022.03.31,180000.0,1500.0,179500.0,181000.0,179000.0,1917.0
1,2022.03.30,178500.0,500.0,179500.0,179500.0,177500.0,1302.0
2,2022.03.29,178000.0,1000.0,181500.0,181500.0,177500.0,2000.0
3,2022.03.28,179000.0,2000.0,179000.0,180000.0,175000.0,2791.0
4,2022.03.25,177000.0,3000.0,180000.0,181500.0,176500.0,3477.0
5,2022.03.24,180000.0,4500.0,176000.0,182000.0,175500.0,7824.0
9,2022.03.23,175500.0,0.0,176500.0,177500.0,175500.0,3401.0
10,2022.03.22,175500.0,1500.0,175000.0,176500.0,174500.0,1669.0
11,2022.03.21,174000.0,3000.0,177500.0,178000.0,174000.0,2811.0
12,2022.03.18,177000.0,3500.0,174500.0,177000.0,174000.0,3668.0
13,2022.03.17,173500.0,500.0,175000.0,175500.0,173500.0,3687.0
1,2022.03.16,174000.0,1500.0,176500.0,176500.0,171500.0,2461.0
2,2022.03.15,175500.0,3500.0,172000.0,176000.0,171500.0,4382.0
3,2022.03.14,172000.0,5000.0,176000.0,177000.0,171000.0,4669.0
4,2022.03.11,177000.0,5500.0,170000.0,178000.0,170000.0,10096.0
5,2022.03.10,171500.0,4000.0,169000.0,171500.0,167500.0,32373.0
9,2022.03.08,167500.0,2500.0,169000.0,169000.0,167000.0,6742.0
10,2022.03.07,170000.0,2500.0,171000.0,171000.0,168000.0,5840.0
11,2022.03.04,172500.0,1000.0,173500.0,174000.0,170500.0,4780.0
12,2022.03.03,173500.0,1000.0,173000.0,174500.0,171500.0,6402.0
13,2022.03.02,172500.0,500.0,173000.0,173000.0,171000.0,4796.0
1,2022.02.28,173000.0,3000.0,169500.0,173000.0,168000.0,5585.0
2,2022.02.25,170000.0,500.0,171000.0,172000.0,168500.0,7747.0
3,2022.02.24,169500.0,2500.0,171500.0,172000.0,168000.0,9630.0
4,2022.02.23,172000.0,5500.0,176000.0,178500.0,170000.0,22632.0
5,2022.02.22,177500.0,6000.0,183000.0,183000.0,175000.0,6698.0
9,2022.02.21,183500.0,1000.0,181000.0,183500.0,179500.0,3028.0
10,2022.02.18,182500.0,0.0,180000.0,184000.0,180000.0,4020.0
11,2022.02.17,182500.0,0.0,183500.0,184000.0,180000.0,4785.0
12,2022.02.16,182500.0,2000.0,181000.0,183000.0,177000.0,4361.0
13,2022.02.15,180500.0,1500.0,178500.0,180500.0,176500.0,2431.0
