,날짜,종가,전일비,시가,고가,저가,거래량
1,2023.01.03,35400.0,100.0,35400.0,35750.0,34700.0,41409.0
2,2023.01.02,35300.0,1100.0,36650.0,36650.0,35200.0,60278.0
3,2022.12.29,36400.0,1000.0,37500.0,37550.0,35800.0,89867.0
4,2022.12.28,37400.0,950.0,37700.0,37800.0,36600.0,113433.0
5,2022.12.27,38350.0,50.0,38450.0,38450.0,37550.0,123681.0
9,2022.12.26,38300.0,500.0,38250.0,38550.0,37150.0,96623.0
10,2022.12.23,37800.0,100.0,37100.0,38050.0,36900.0,97524.0
11,2022.12.22,37700.0,1350.0,36400.0,37800.0,36400.0,134811.0
12,2022.12.21,36350.0,250.0,36400.0,36400.0,35950.0,82337.0
13,2022.12.20,36100.0,850.0,36950.0,36950.0,35750.0,99100.0
1,2022.12.19,36950.0,100.0,36850.0,37150.0,36450.0,34977.0
2,2022.12.16,36850.0,700.0,36900.0,37100.0,36750.0,52915.0
3,2022.12.15,37550.0,100.0,37100.0,37600.0,37100.0,46337.0
4,2022.12.14,37650.0,550.0,37200.0,37650.0,37100.0,57713.0
5,2022.12.13,37100.0,200.0,37250.0,37350.0,36450.0,107568.0
9,2022.12.12,36900.0,1300.0,38100.0,38100.0,36750.0,141823.0
10,2022.12.09,38200.0,450.0,38000.0,38650.0,37800.0,62369.0
11,2022.12.08,37750.0,100.0,37700.0,38250.0,37650.0,85770.0
12,2022.12.07,37850.0,200.0,37900.0,38350.0,37600.0,42300.0
13,2022.12.06,38050.0,1000.0,38800.0,39000.0,38000.0,56912.0
1,2022.12.05,39050.0,200.0,38850.0,39400.0,38800.0,41629.0
2,2022.12.02,38850.0,500.0,39150.0,39350.0,38500.0,69346.0
3,2022.12.01,39350.0,650.0,40350.0,40600.0,39300.0,83879.0
4,2022.11.30,40000.0,250.0,39600.0,40050.0,39050.0,87645.0
5,2022.11.29,39750.0,700.0,38700.0,39850.0,38700.0,54294.0
9,2022.11.28,39050.0,650.0,39400.0,39750.0,38950.0,64175.0
10,2022.11.25,39700.0,350.0,40050.0,40150.0,39450.0,43596.0
11,2022.11.24,40050.0,650.0,40800.0,40850.0,40000.0,68125.0
12,2022.11.23,40700.0,1000.0,40000.0,40850.0,39700.0,105313.0
13,2022.11.22,39700.0,700.0,39150.0,39950.0,38700.0,82123.0
1,2022.11.21,39000.0,700.0,39500.0,39800.0,38550.0,71491.0
2,2022.11.18,39700.0,800.0,39150.0,40400.0,39050.0,112490.0
3,2022.11.17,38900.0,150.0,39050.0,39800.0,38550.0,115389.0
4,2022.11.16,39050.0,250.0,39050.0,39250.0,38400.0,74298.0
5,2022.11.15,38800.0,1250.0,37650.0,38900.0,37500.0,100568.0
9,2022.11.14,37550.0,1200.0,38050.0,38600.0,37450.0,161595.0
10,2022.11.11,38750.0,1150.0,38900.0,39500.0,38200.0,137876.0
11,2022.11.10,37600.0,400.0,37850.0,38150.0,37350.0,52969.0
12,2022.11.09,38000.0,350.0,38400.0,38550.0,38000.0,58512.0
13,2022.11.08,38350.0,900.0,37550.0,38400.0,37500.0,49789.0
1,2022.11.07,37450.0,250.0,37200.0,37550.0,37050.0,38713.0
2,2022.11.04,37200.0,100.0,37050.0,37350.0,36500.0,61268.0
3,2022.11.03,37100.0,1100.0,37650.0,37700.0,37100.0,85711.0
4,2022.11.02,38200.0,250.0,38100.0,38300.0,37950.0,34987.0
5,2022.11.01,38450.0,300.0,38300.0,38450.0,38000.0,45257.0
9,2022.10.31,38150.0,0.0,38250.0,38550.0,37850.0,42376.0
10,2022.10.28,38150.0,650.0,38300.0,38650.0,38100.0,35844.0
11,2022.10.27,38800.0,500.0,38400.0,38950.0,38000.0,88926.0
12,2022.10.26,38300.0,350.0,38200.0,38350.0,37650.0,42232.0
13,2022.10.25,37950.0,800.0,38750.0,38850.0,37800.0,47797.0
1,2022.10.24,38750.0,1000.0,38450.0,38850.0,38050.0,56977.0
2,2022.10.21,37750.0,850.0,39000.0,39000.0,37750.0,77760.0
3,2022.10.20,38600.0,1150.0,37100.0,38600.0,36950.0,99880.0
4,2022.10.19,37450.0,1000.0,38050.0,38650.0,37450.0,80100.0
5,2022.10.18,38450.0,1050.0,37850.0,38450.0,37300.0,70487.0
9,2022.10.17,37400.0,150.0,36550.0,37600.0,36400.0,146691.0
10,2022.10.14,37250.0,1250.0,37000.0,37300.0,36450.0,92742.0
11,2022.10.13,36000.0,1350.0,37350.0,37350.0,36000.0,103049.0
12,2022.10.12,37350.0,450.0,37800.0,38100.0,36550.0,143355.0
13,2022.10.11,37800.0,1000.0,38300.0,38300.0,37650.0,90600.0
1,2022.10.07,38800.0,200.0,38400.0,39350.0,38300.0,61650.0
2,2022.10.06,39000.0,500.0,38850.0,39200.0,38350.0,96353.0
3,2022.10.05,38500.0,1100.0,40000.0,40150.0,38150.0,105343.0
4,2022.10.04,39600.0,1600.0,38950.0,39600.0,38600.0,71151.0
5,2022.09.30,38000.0,1050.0,38800.0,39200.0,37500.0,150157.0
9,2022.09.29,39050.0,150.0,39750.0,40100.0,39000.0,89946.0
10,2022.09.28,38900.0,1050.0,39600.0,40200.0,38400.0,132411.0
11,2022.09.27,39950.0,600.0,39400.0,40000.0,38950.0,92400.0
12,2022.09.26,39350.0,850.0,40100.0,40350.0,39000.0,144535.0
13,2022.09.23,40200.0,1350.0,41550.0,41750.0,40150.0,121905.0
1,2022.09.22,41550.0,300.0,41500.0,42050.0,41050.0,65349.0
2,2022.09.21,41850.0,400.0,42000.0,43000.0,41400.0,107852.0
